,actual_epochs,dataset.name,dataset.samples_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,model.path_length_d_reg_coef,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
32,10969,mnist89,10000,0.745132327079773,0.6821313500404358,./d.n=mnist89,0.03597266227006912,6.996915544732474e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist89,shallow,1e-05,3.1882143020629883,3.23757266998291,1.1861895322799683,1.258089303970337,17.133190155029297,0.01885311999426559
33,11090,mnist19,10000,0.42627373337745667,0.4274924397468567,./d.n=mnist19,0.016011307016015053,1.1202406312804669e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist19,shallow,1e-05,1.6749053001403809,1.7960749864578247,1.0582345724105835,1.0887885093688965,10.725910186767578,0.012853580286786253
34,11477,mnist26,10000,0.55519038438797,0.5291747450828552,./d.n=mnist26,0.027373623102903366,8.162734047800768e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist26,shallow,1e-05,2.6016948223114014,2.563509702682495,1.1656056642532349,1.2340034246444702,12.992433547973633,0.01674152689478077
35,11674,mnist12,10000,0.5640984177589417,0.5307756066322327,./d.n=mnist12,0.02077283151447773,2.8709440812235698e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist12,shallow,1e-05,2.128405809402466,2.126908540725708,1.099630355834961,1.1568591594696045,13.035741806030273,0.01432612346952841
36,14320,mnist17,10000,0.6089571714401245,0.5570793747901917,./d.n=mnist17,0.028588710352778435,1.599511961103417e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist17,shallow,1e-05,2.171041488647461,2.123811960220337,1.1614736318588257,1.1187009811401367,13.597426414489746,0.014342493005713112
37,15036,mnist23,10000,0.7755997180938721,0.7248983383178711,./d.n=mnist23,0.03541240841150284,1.9759982023970224e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist23,shallow,1e-05,3.7981436252593994,3.8250646591186523,1.1760724782943726,1.215099811553955,19.36488151550293,0.021858490814346404
38,18141,mnist04,10000,0.43967315554618835,0.40564990043640137,./d.n=mnist04,0.011190014891326427,8.325761882588267e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist04,shallow,1e-05,1.7636630535125732,1.7518248558044434,1.1051908731460571,1.122206687927246,8.527881622314453,0.01369176790613626
39,19570,mnist49,10000,0.9784682393074036,0.8952230215072632,./d.n=mnist49,0.06699870526790619,1.433175930287689e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist49,shallow,1e-05,4.6217875480651855,4.622485160827637,1.222292184829712,1.3030041456222534,24.380359649658203,0.02348435907525387
40,25000,mnist38,10000,0.9296348690986633,0.8521429896354675,./d.n=mnist38,0.04535408690571785,4.336327765486203e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist38,shallow,1e-05,4.0906500816345215,4.139551162719727,1.2864272594451904,1.3556171655654907,21.097286224365234,0.024308096086500537
41,25000,mnist79,10000,1.0085283517837524,0.976277232170105,./d.n=mnist79,0.0444011464715004,1.2136757504777052e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist79,shallow,1e-05,3.898935556411743,3.9990274906158447,1.2568625211715698,1.2634122371673584,24.782480239868164,0.02275342166810615
