,actual_epochs,dataset.name,dataset.samples_train,gradient_norm_squared_test,gradient_norm_squared_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
243,2451,mnist15,128,2.1762900352478027,2.106541156768799,1.4739545583724976,1.45004403591156,./d.n=mnist15_d.st=128_m.i=1,0.15930216014385223,9.874415809463244e-06,64,25000,1e-05,256,1.0,1,0.01,d.n=mnist15_d.st=128_m.i=1,shallow,7.444574356079102,7.326174259185791,1.0585036277770996,1.0659277439117432,26.74343490600586,0.043973776781383346
244,2209,mnist45,4096,2.801886796951294,2.764270544052124,1.6696633100509644,1.658387303352356,./d.n=mnist45_d.st=4096_m.i=0,0.03796609118580818,1.0946696420433e-05,64,25000,1e-05,256,1.0,0,0.01,d.n=mnist45_d.st=4096_m.i=0,shallow,12.021174430847168,12.157109260559082,1.2353585958480835,1.2959808111190796,41.50849151611328,0.04435155944183055
245,2337,mnist68,4096,3.4296622276306152,3.3267438411712646,1.8481523990631104,1.8196557760238647,./d.n=mnist68_d.st=4096_m.i=1,0.06030558422207832,9.538293852529023e-06,64,25000,1e-05,256,1.0,1,0.01,d.n=mnist68_d.st=4096_m.i=1,shallow,13.16975212097168,13.002782821655273,1.2028191089630127,1.2868324518203735,46.03335189819336,0.044538486081510266
246,1673,mnist03,2048,2.8585257530212402,2.7683920860290527,1.688390851020813,1.661077857017517,./d.n=mnist03_d.st=2048_m.i=2,0.04755296930670738,9.427046279597562e-06,64,25000,1e-05,256,1.0,2,0.01,d.n=mnist03_d.st=2048_m.i=2,shallow,11.184080123901367,11.222387313842773,1.218145489692688,1.2225511074066162,37.81570816040039,0.04424322368956402
247,1789,mnist89,2048,3.8981223106384277,3.8221592903137207,1.9708386659622192,1.950899362564087,./d.n=mnist89_d.st=2048_m.i=0,0.1088077574968338,9.951902029570192e-06,64,25000,1e-05,256,1.0,0,0.01,d.n=mnist89_d.st=2048_m.i=0,shallow,12.631049156188965,12.56912899017334,1.1682827472686768,1.2613725662231445,42.583717346191406,0.04442688129123465
248,1321,mnist89,256,2.914459466934204,2.789405345916748,1.7051197290420532,1.6676057577133179,./d.n=mnist89_d.st=256_m.i=1,0.22833304107189178,9.540388418827206e-06,64,25000,1e-05,256,1.0,1,0.01,d.n=mnist89_d.st=256_m.i=1,shallow,7.915984153747559,7.885984420776367,1.0894101858139038,1.0906099081039429,29.427753448486328,0.04398536729731777
249,1044,mnist36,256,2.2111153602600098,2.1083202362060547,1.4857789278030396,1.4504605531692505,./d.n=mnist36_d.st=256_m.i=2,0.18170608580112457,9.724678420752753e-06,64,25000,1e-05,256,1.0,2,0.01,d.n=mnist36_d.st=256_m.i=2,shallow,8.109854698181152,8.020380973815918,1.1004124879837036,1.168125867843628,28.582874298095703,0.04392208651552301
250,1142,mnist28,2048,3.7791755199432373,3.7120795249938965,1.9393004179000854,1.9214558601379395,./d.n=mnist28_d.st=2048_m.i=2,0.11499471962451935,1.1742773494916037e-05,64,25000,1e-05,256,1.0,2,0.01,d.n=mnist28_d.st=2048_m.i=2,shallow,13.051151275634766,13.158184051513672,1.2224351167678833,1.2407597303390503,44.603633880615234,0.04436712337983535
251,1751,mnist25,4096,2.936063051223755,2.9353182315826416,1.708762526512146,1.7087736129760742,./d.n=mnist25_d.st=4096_m.i=1,0.04233580827713013,8.76175363373477e-06,64,25000,1e-05,256,1.0,1,0.01,d.n=mnist25_d.st=4096_m.i=1,shallow,12.096585273742676,12.242179870605469,1.2638577222824097,1.2734054327011108,42.88780212402344,0.04434260023150211
252,1975,mnist48,4096,3.5206522941589355,3.4808013439178467,1.8695504665374756,1.8588159084320068,./d.n=mnist48_d.st=4096_m.i=2,0.0534999817609787,8.82502536114771e-06,64,25000,1e-05,256,1.0,2,0.01,d.n=mnist48_d.st=4096_m.i=2,shallow,13.061025619506836,13.311210632324219,1.2705111503601074,1.2360436916351318,45.463260650634766,0.0443987904740238
