,actual_epochs,dataset.name,dataset.samples_train,gradient_norm_squared_test,gradient_norm_squared_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
601,3002,mnist38,128,0.997306227684021,0.7872750163078308,0.9792987704277039,0.8734263181686401,./d.n=mnist38_d.st=128_m.i=2,0.3100491166114807,9.870313078863546e-06,64,25000,1e-05,256,0.01,2,0.01,d.n=mnist38_d.st=128_m.i=2,shallow,0.7357476949691772,0.8013731241226196,1.0440040826797485,0.9790988564491272,2.3264455795288086,0.005806004073272638
602,4778,mnist68,128,0.6488776803016663,0.5403296947479248,0.7883657217025757,0.7244006395339966,./d.n=mnist68_d.st=128_m.i=2,0.1799355149269104,9.940154996002093e-06,64,25000,1e-05,256,0.01,2,0.01,d.n=mnist68_d.st=128_m.i=2,shallow,0.8735214471817017,0.8388261795043945,1.125461220741272,1.051744818687439,2.2343199253082275,0.005715829088163785
603,6674,mnist14,64,0.3049422800540924,0.26384198665618896,0.5445889830589294,0.507088303565979,./d.n=mnist14_d.st=64_m.i=1,0.0861925333738327,9.990380931412801e-06,64,25000,1e-05,256,0.01,1,0.01,d.n=mnist14_d.st=64_m.i=1,shallow,0.4592505693435669,0.47073400020599365,1.0668225288391113,0.9454663991928101,1.5806751251220703,0.005231285831635155
604,2243,mnist38,2048,1.5935652256011963,1.4425444602966309,1.245105504989624,1.1897436380386353,./d.n=mnist38_d.st=2048_m.i=1,0.09823115170001984,8.70415533427149e-06,64,25000,1e-05,256,0.01,1,0.01,d.n=mnist38_d.st=2048_m.i=1,shallow,3.287278890609741,3.3382365703582764,1.0862104892730713,1.1981711387634277,8.967182159423828,0.009879995887119965
605,2058,mnist35,1024,1.7820783853530884,1.566921353340149,1.3171645402908325,1.2359975576400757,./d.n=mnist35_d.st=1024_m.i=2,0.11421108990907669,9.341147233499214e-06,64,25000,1e-05,256,0.01,2,0.01,d.n=mnist35_d.st=1024_m.i=2,shallow,2.556781053543091,2.5399787425994873,1.1429669857025146,1.112799048423767,6.752860069274902,0.008602452813486202
606,2486,mnist28,4096,1.0449492931365967,0.9771713018417358,1.0064533948898315,0.9759687781333923,./d.n=mnist28_d.st=4096_m.i=2,0.050403449684381485,8.740208613744471e-06,64,25000,1e-05,256,0.01,2,0.01,d.n=mnist28_d.st=4096_m.i=2,shallow,3.80454158782959,3.9067633152008057,1.1487178802490234,1.241430401802063,10.919515609741211,0.010925605644145055
607,5369,mnist78,512,1.3492704629898071,1.2339329719543457,1.1238878965377808,1.0797253847122192,./d.n=mnist78_d.st=512_m.i=1,0.10875269770622253,1.0351380296924617e-05,64,25000,1e-05,256,0.01,1,0.01,d.n=mnist78_d.st=512_m.i=1,shallow,1.4865463972091675,1.5049264430999756,1.0534858703613281,1.0298861265182495,3.959691047668457,0.006999770258084818
608,3315,mnist02,128,0.4758145809173584,0.4474729001522064,0.6726832985877991,0.6542434692382812,./d.n=mnist02_d.st=128_m.i=2,0.13473540544509888,9.824103472055867e-06,64,25000,1e-05,256,0.01,2,0.01,d.n=mnist02_d.st=128_m.i=2,shallow,0.743664562702179,0.7419362664222717,1.109127402305603,1.0269700288772583,2.1307079792022705,0.005605085731193239
609,3245,mnist56,4096,1.1107021570205688,1.0712438821792603,1.0315604209899902,1.0182743072509766,./d.n=mnist56_d.st=4096_m.i=0,0.047553956508636475,9.652139851823449e-06,64,25000,1e-05,256,0.01,0,0.01,d.n=mnist56_d.st=4096_m.i=0,shallow,3.5317928791046143,3.545954942703247,1.0563774108886719,1.0791970491409302,10.116299629211426,0.01052208259694929
610,5434,mnist27,512,1.6353893280029297,1.5200786590576172,1.243582010269165,1.2075530290603638,./d.n=mnist27_d.st=512_m.i=2,0.12852701544761658,1.0152661161555443e-05,64,25000,1e-05,256,0.01,2,0.01,d.n=mnist27_d.st=512_m.i=2,shallow,1.5038119554519653,1.51291024684906,1.0431499481201172,1.0697015523910522,4.265370845794678,0.007157141519601024
611,4696,mnist57,128,0.7903668284416199,0.7130621671676636,0.8658718466758728,0.8177645206451416,./d.n=mnist57_d.st=128_m.i=2,0.21980439126491547,9.870235771813896e-06,64,25000,1e-05,256,0.01,2,0.01,d.n=mnist57_d.st=128_m.i=2,shallow,0.5696592926979065,0.6043864488601685,1.1522153615951538,1.0393768548965454,2.1935806274414062,0.0056319613531629975
612,3593,mnist56,1024,1.669101357460022,1.6000959873199463,1.2544043064117432,1.2341665029525757,./d.n=mnist56_d.st=1024_m.i=1,0.08993987739086151,1.0756868505268358e-05,64,25000,1e-05,256,0.01,1,0.01,d.n=mnist56_d.st=1024_m.i=1,shallow,2.1814632415771484,2.172719717025757,1.055234670639038,1.0911645889282227,5.9075212478637695,0.00819386516536916
613,3607,mnist34,512,1.0668234825134277,0.9959155321121216,1.0089689493179321,0.9816642999649048,./d.n=mnist34_d.st=512_m.i=1,0.06832858175039291,9.799458894121926e-06,64,25000,1e-05,256,0.01,1,0.01,d.n=mnist34_d.st=512_m.i=1,shallow,1.442275881767273,1.4076005220413208,1.0145037174224854,1.0839958190917969,3.845989227294922,0.006861945119156216
614,10733,mnist15,512,1.0648293495178223,0.9603152871131897,1.0156641006469727,0.9664446711540222,./d.n=mnist15_d.st=512_m.i=0,0.06488904356956482,9.9379531093291e-06,64,25000,1e-05,256,0.01,0,0.01,d.n=mnist15_d.st=512_m.i=0,shallow,1.3615766763687134,1.305016279220581,1.0222868919372559,1.01375412940979,3.806514263153076,0.006880130237586514
615,3484,mnist08,4096,0.3043757975101471,0.2617661952972412,0.5295699834823608,0.5000726580619812,./d.n=mnist08_d.st=4096_m.i=1,0.030904212966561317,1.0599418601486832e-05,64,25000,1e-05,256,0.01,1,0.01,d.n=mnist08_d.st=4096_m.i=1,shallow,2.402893543243408,2.4283342361450195,1.0567727088928223,1.0682131052017212,7.3760457038879395,0.009178457141326797
616,6585,mnist69,64,0.26706331968307495,0.21415680646896362,0.5035175681114197,0.4489518404006958,./d.n=mnist69_d.st=64_m.i=0,0.15488502383232117,9.988283636630513e-06,64,25000,1e-05,256,0.01,0,0.01,d.n=mnist69_d.st=64_m.i=0,shallow,0.4445111155509949,0.4267280697822571,1.0473545789718628,1.0245451927185059,1.5027824640274048,0.005153469683648444
617,3393,mnist05,4096,0.6395737528800964,0.592687726020813,0.7659624814987183,0.738073468208313,./d.n=mnist05_d.st=4096_m.i=0,0.022207001224160194,9.842356121225748e-06,64,25000,1e-05,256,0.01,0,0.01,d.n=mnist05_d.st=4096_m.i=0,shallow,2.807631492614746,2.763136863708496,1.0607856512069702,1.1076922416687012,8.10384464263916,0.009534949252004345
618,3843,mnist68,1024,1.1608152389526367,1.1147252321243286,1.0500456094741821,1.0328315496444702,./d.n=mnist68_d.st=1024_m.i=1,0.0742056667804718,1.0376270438428037e-05,64,25000,1e-05,256,0.01,1,0.01,d.n=mnist68_d.st=1024_m.i=1,shallow,1.8728824853897095,1.8711721897125244,1.105370283126831,1.0454517602920532,5.350350856781006,0.007842896536415967
