,actual_epochs,dataset.lengthscale,dataset.name,dataset.noise_var,dataset.samples_train,dataset.seed,gradient_norm_squared_test,gradient_norm_squared_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
27,1895,0.5,gp,0,6,14,1.929602026939392,1.4044523239135742,1.1407060623168945,0.9370453953742981,./d.st=6_d.s=14_m.i=1,0.023996345698833466,0.000992335262708366,,50000,0.001,256,0.01,1,0.1,d.st=6_d.s=14_m.i=1,shallow,1.6231591701507568,1.8961645364761353,0.9500741958618164,0.9579697251319885,4.619326591491699,0.11594488233580484
28,1957,0.5,gp,0,9,9,1.1666637659072876,1.2880288362503052,1.0290820598602295,1.1022238731384277,./d.st=9_d.s=9_m.i=1,0.001232478185556829,0.0009980335598811507,,50000,0.001,256,0.01,1,0.1,d.st=9_d.s=9_m.i=1,shallow,1.6633806228637695,1.7732856273651123,0.6045031547546387,0.6914542317390442,4.045100688934326,0.10718056535687294
29,2057,0.5,gp,0,5,1,3.0475857257843018,2.1095194816589355,1.6021658182144165,1.32920241355896,./d.st=5_d.s=1_m.i=3,0.02492617443203926,0.0009925743797793984,,50000,0.001,256,0.01,3,0.1,d.st=5_d.s=1_m.i=3,shallow,2.0445172786712646,2.4797277450561523,1.1569164991378784,1.3538850545883179,5.640978813171387,0.12856222056975206
30,2314,0.5,gp,0,7,19,0.6413583159446716,0.6682747006416321,0.6700886487960815,0.6884511709213257,./d.st=7_d.s=19_m.i=4,0.0031855267006903887,0.000993264140561223,,50000,0.001,256,0.01,4,0.1,d.st=7_d.s=19_m.i=4,shallow,1.0126763582229614,1.1245251893997192,0.4028857350349426,0.45146894454956055,2.691493034362793,0.08794532987922407
31,2905,0.5,gp,0,9,1,4.030453205108643,4.120389938354492,1.6647415161132812,1.6561049222946167,./d.st=9_d.s=1_m.i=6,0.0024073258973658085,0.000997899565845728,,50000,0.001,256,0.01,6,0.1,d.st=9_d.s=1_m.i=6,shallow,3.3352086544036865,3.2642393112182617,1.276498556137085,1.4020575284957886,7.871644020080566,0.14933001376753444
32,2227,0.5,gp,0,8,3,3.959428071975708,3.482769250869751,1.8060799837112427,1.649578332901001,./d.st=8_d.s=3_m.i=5,0.01237002294510603,0.000996117014437914,,50000,0.001,256,0.01,5,0.1,d.st=8_d.s=3_m.i=5,shallow,2.601870536804199,2.612445831298828,1.3849557638168335,1.3729811906814575,6.631404399871826,0.1383229884386853
33,2328,0.5,gp,0,7,19,0.6411166191101074,0.6680141091346741,0.6701542735099792,0.6883756518363953,./d.st=7_d.s=19_m.i=2,0.0031867322977632284,0.0009926726343110204,,50000,0.001,256,0.01,2,0.1,d.st=7_d.s=19_m.i=2,shallow,1.012604832649231,1.1244834661483765,0.4044710099697113,0.4529310166835785,2.69107723236084,0.08791524361508825
34,3053,0.5,gp,0,4,13,0.4771873354911804,0.5688924193382263,0.5486252307891846,0.6559975147247314,./d.st=4_d.s=13_m.i=8,0.04182805120944977,0.0009933761321008205,,50000,0.001,256,0.01,8,0.1,d.st=4_d.s=13_m.i=8,shallow,1.0157380104064941,0.99174964427948,0.4044848084449768,0.48281311988830566,2.451443672180176,0.0838040875640734
35,375,0.5,gp,0,4,12,1.2639575004577637,2.0123209953308105,0.7637196183204651,1.1298255920410156,./d.st=4_d.s=12_m.i=3,0.038750242441892624,0.000964027363806963,,50000,0.001,256,0.01,3,0.1,d.st=4_d.s=12_m.i=3,shallow,0.9878678917884827,1.1509177684783936,0.39016327261924744,0.5841426849365234,2.2780675888061523,0.07949888261431944
36,3058,0.5,gp,0,10,1,4.0530476570129395,4.802395820617676,1.664391279220581,1.8498680591583252,./d.st=10_d.s=1_m.i=9,0.0024523651227355003,0.0009995454456657171,,50000,0.001,256,0.01,9,0.1,d.st=10_d.s=1_m.i=9,shallow,3.313222885131836,3.2492196559906006,1.2755510807037354,1.2660893201828003,7.975027084350586,0.1502418225989564
37,3086,0.5,gp,0,6,4,1.3632080554962158,1.6862419843673706,0.8610477447509766,1.0017861127853394,./d.st=6_d.s=4_m.i=3,0.0037782343570142984,0.0009977720910683274,,50000,0.001,256,0.01,3,0.1,d.st=6_d.s=4_m.i=3,shallow,1.4339500665664673,1.640472173690796,0.5098824501037598,0.5795409083366394,3.631476640701294,0.10186853084269798
38,377,0.5,gp,0,4,12,1.2627592086791992,2.0023393630981445,0.7708930969238281,1.127821445465088,./d.st=4_d.s=12_m.i=7,0.03877042606472969,0.0009574192808941007,,50000,0.001,256,0.01,7,0.1,d.st=4_d.s=12_m.i=7,shallow,1.0107884407043457,1.118800401687622,0.4181390404701233,0.6066377758979797,2.2854645252227783,0.07974396551842679
39,3171,0.5,gp,0,6,4,1.363240361213684,1.6862872838974,0.8611019253730774,1.0018256902694702,./d.st=6_d.s=4_m.i=5,0.0037772911600768566,0.0009972567204385996,,50000,0.001,256,0.01,5,0.1,d.st=6_d.s=4_m.i=5,shallow,1.4340306520462036,1.6405733823776245,0.5099115371704102,0.5795827507972717,3.6316781044006348,0.10187503433913987
40,3050,0.5,gp,0,9,19,0.7195999026298523,0.8099616765975952,0.7469903826713562,0.7935227155685425,./d.st=9_d.s=19_m.i=0,0.0007275234675034881,0.0009982825722545385,,50000,0.001,256,0.01,0,0.1,d.st=9_d.s=19_m.i=0,shallow,1.2418732643127441,1.1613094806671143,0.4701802432537079,0.5297659635543823,3.182659387588501,0.0964638543659893
41,63,0.5,gp,0,2,4,0.13650977611541748,0.0462382435798645,0.36321160197257996,0.2008982002735138,./d.st=2_d.s=4_m.i=9,0.2775525152683258,0.0006875806720927358,,50000,0.001,256,0.01,9,0.1,d.st=2_d.s=4_m.i=9,shallow,0.06544286757707596,0.2080666571855545,0.24952182173728943,0.3795768916606903,0.4035862386226654,0.0402934041831128
42,3231,0.5,gp,0,8,16,2.2116403579711914,2.1084423065185547,1.3873764276504517,1.3503080606460571,./d.st=8_d.s=16_m.i=3,0.002078724093735218,0.0009948840597644448,,50000,0.001,256,0.01,3,0.1,d.st=8_d.s=16_m.i=3,shallow,2.511082410812378,2.8214287757873535,0.8588253855705261,0.9278823137283325,6.439300537109375,0.13608894500371665
