,actual_epochs,dataset.name,dataset.samples_train,error,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.gradient_norm_reg_coef,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,model.weights_product_reg_coef,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
169,3316.0,mnist28,10000,,0.8483132123947144,0.8020917773246765,./d.n=mnist28_m.gnrc=0.0001_m.lr=0.01,0.035446155816316605,1.1367063962097745e-05,64,15000,1e-05,0.0001,256,0.01,0,0.01,d.n=mnist28_m.gnrc=0.0001_m.lr=0.01,shallow,0,5.214714050292969,5.133919715881348,1.1456613540649414,1.1552510261535645,16.000259399414062,0.013441185247669912
170,1131.0,mnist07,10000,,0.6093274354934692,0.577993631362915,./d.n=mnist07_m.gnrc=1e-05_m.lr=0.1,0.012150843627750874,1.2450090252968948e-05,64,15000,1e-05,1e-05,256,0.01,0,0.1,d.n=mnist07_m.gnrc=1e-05_m.lr=0.1,shallow,0,1.8030778169631958,1.795000433921814,1.1448028087615967,1.146786093711853,9.539955139160156,0.011846955222373029
171,5788.0,mnist47,10000,,0.2884705662727356,0.22774913907051086,./d.n=mnist47_m.gnrc=0.001_m.lr=0.01,0.022350803017616272,3.174179801135324e-05,64,15000,1e-05,0.001,256,0.01,0,0.01,d.n=mnist47_m.gnrc=0.001_m.lr=0.01,shallow,0,4.6874918937683105,4.3367767333984375,1.1056878566741943,1.0650283098220825,13.988508224487305,0.012538170540368265
172,,mnist58,10000,"Input contains NaN, infinity or a value too large for dtype('float32').",,,./d.n=mnist58_m.gnrc=1e-05_m.lr=0.1,,,64,15000,1e-05,1e-05,256,0.01,0,0.1,d.n=mnist58_m.gnrc=1e-05_m.lr=0.1,shallow,0,,,,,,
173,2655.0,mnist18,10000,,0.6751529574394226,0.6641991138458252,./d.n=mnist18_m.gnrc=0.0001_m.lr=0.1,0.011691060848534107,1.094807157642208e-05,64,15000,1e-05,0.0001,256,0.01,0,0.1,d.n=mnist18_m.gnrc=0.0001_m.lr=0.1,shallow,0,2.9728105068206787,3.1199562549591064,1.2147843837738037,1.2117112874984741,18.653627395629883,0.01641975080514935
174,4692.0,mnist14,10000,,0.12574198842048645,0.1151125356554985,./d.n=mnist14_m.gnrc=0.001_m.lr=0.01,0.0037040356546640396,9.853310984908603e-06,64,15000,1e-05,0.001,256,0.01,0,0.01,d.n=mnist14_m.gnrc=0.001_m.lr=0.01,shallow,0,3.1456894874572754,3.0881171226501465,1.0471923351287842,1.0538078546524048,10.637144088745117,0.010776119433046821
175,1140.0,mnist39,10000,,0.6989704370498657,0.6502377986907959,./d.n=mnist39_m.gnrc=0.0001_m.lr=0.1,0.03463488072156906,5.966197932139039e-05,64,15000,1e-05,0.0001,256,0.01,0,0.1,d.n=mnist39_m.gnrc=0.0001_m.lr=0.1,shallow,0,2.8862574100494385,2.9647114276885986,1.1657516956329346,1.1812620162963867,19.180660247802734,0.01629575536612789
176,5306.0,mnist08,10000,,0.3932477533817291,0.34079498052597046,./d.n=mnist08_m.gnrc=0.001_m.lr=0.1,0.019677143543958664,1.2192480426165275e-05,64,15000,1e-05,0.001,256,0.01,0,0.1,d.n=mnist08_m.gnrc=0.001_m.lr=0.1,shallow,0,2.288539409637451,2.2392609119415283,1.1171047687530518,1.1584652662277222,14.05550765991211,0.016147845214958226
177,4029.0,mnist07,10000,,0.1282820850610733,0.10721724480390549,./d.n=mnist07_m.gnrc=0.001_m.lr=0.01,0.007572642061859369,1.3643170859722886e-05,64,15000,1e-05,0.001,256,0.01,0,0.01,d.n=mnist07_m.gnrc=0.001_m.lr=0.01,shallow,0,2.538041353225708,2.6316158771514893,0.9665843844413757,0.9926888346672058,8.109772682189941,0.009661631714260727
178,3314.0,mnist03,10000,,0.10973849147558212,0.09560400247573853,./d.n=mnist03_m.gnrc=0.001_m.lr=0.01,0.0030580938328057528,8.495677320752293e-06,64,15000,1e-05,0.001,256,0.01,0,0.01,d.n=mnist03_m.gnrc=0.001_m.lr=0.01,shallow,0,3.0065805912017822,3.0274240970611572,1.0565623044967651,1.0531492233276367,9.075348854064941,0.01023549794119302
179,4850.0,mnist09,10000,,0.17387178540229797,0.1284841001033783,./d.n=mnist09_m.gnrc=0.001_m.lr=0.01,0.016268301755189896,1.3520842003345024e-05,64,15000,1e-05,0.001,256,0.01,0,0.01,d.n=mnist09_m.gnrc=0.001_m.lr=0.01,shallow,0,3.3969805240631104,3.460495710372925,0.9729781746864319,0.9822012782096863,9.86727237701416,0.010656356201951121
180,5075.0,mnist23,10000,,0.49880287051200867,0.4572784900665283,./d.n=mnist23_m.gnrc=0.001_m.lr=0.01,0.026811538264155388,2.5463365091127343e-05,64,15000,1e-05,0.001,256,0.01,0,0.01,d.n=mnist23_m.gnrc=0.001_m.lr=0.01,shallow,0,5.336889266967773,5.401315689086914,1.1166517734527588,1.1356698274612427,16.730445861816406,0.013676076449603211
181,910.0,mnist24,10000,,0.5686267018318176,0.54132080078125,./d.n=mnist24_m.gnrc=0.0001_m.lr=0.1,0.024216724559664726,4.807613731827587e-05,64,15000,1e-05,0.0001,256,0.01,0,0.1,d.n=mnist24_m.gnrc=0.0001_m.lr=0.1,shallow,0,2.533961296081543,2.600949287414551,1.1251482963562012,1.2188317775726318,14.616144180297852,0.014482758772148847
182,1928.0,mnist12,10000,,0.645024299621582,0.6267163753509521,./d.n=mnist12_m.gnrc=0.0001_m.lr=0.1,0.020708568394184113,1.3532620869227685e-05,64,15000,1e-05,0.0001,256,0.01,0,0.1,d.n=mnist12_m.gnrc=0.0001_m.lr=0.1,shallow,0,2.4133658409118652,2.4117650985717773,1.1436147689819336,1.15963876247406,14.777132034301758,0.014302959574167795
