,actual_epochs,dataset.name,dataset.samples_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,model.path_length_f_reg_coef,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
18,8661,mnist09,10000,0.8314085602760315,0.7338058948516846,./d.n=mnist09,0.018080564215779305,7.859004654164892e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist09,shallow,0.0001,1.9235292673110962,1.8680380582809448,0.9780715107917786,1.0728750228881836,15.339509010314941,0.018126039850444156
19,9193,mnist37,10000,0.815446674823761,0.7219433784484863,./d.n=mnist37,0.03647683933377266,6.854734238004312e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist37,shallow,0.0001,2.477461338043213,2.3773272037506104,1.053626537322998,0.9759694933891296,19.58485984802246,0.019929222839517546
20,9396,mnist34,10000,0.5011969208717346,0.43715012073516846,./d.n=mnist34,0.009895972907543182,6.431688234442845e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist34,shallow,0.0001,2.1095128059387207,2.009097099304199,1.0766196250915527,1.0272871255874634,14.730164527893066,0.0187740267896363
21,9777,mnist47,10000,0.7702044248580933,0.6363738775253296,./d.n=mnist47,0.023096855729818344,1.557324139866978e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist47,shallow,0.0001,2.8525171279907227,2.759105920791626,1.0890735387802124,1.0758814811706543,21.634925842285156,0.021283439160540166
22,10106,mnist45,10000,0.5341851711273193,0.4816129505634308,./d.n=mnist45,0.013648011721670628,4.626576355803991e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist45,shallow,0.0001,2.5346240997314453,2.5856354236602783,0.9983497262001038,1.0586813688278198,15.666491508483887,0.019105296948000467
23,10648,mnist24,10000,0.6226925253868103,0.5953235030174255,./d.n=mnist24,0.024517489597201347,1.2005883945676032e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist24,shallow,0.0001,2.461890935897827,2.425647497177124,1.012937307357788,1.0465822219848633,16.6827335357666,0.019830750716668292
24,11789,mnist26,10000,0.7517722845077515,0.6891663670539856,./d.n=mnist26,0.028655629605054855,1.1474290658952668e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist26,shallow,0.0001,2.6821889877319336,2.692148208618164,1.0557821989059448,1.0362465381622314,17.780942916870117,0.021045746943833064
25,12041,mnist25,10000,0.866242527961731,0.8102525472640991,./d.n=mnist25,0.016783900558948517,4.29893952968996e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist25,shallow,0.0001,2.86392879486084,2.8841066360473633,1.0713764429092407,1.044292688369751,17.691120147705078,0.020751218321786315
26,13173,mnist36,10000,0.773652195930481,0.7019026279449463,./d.n=mnist36,0.01699180342257023,1.5435112800332718e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist36,shallow,0.0001,2.243562698364258,2.1236534118652344,1.0517853498458862,1.0321599245071411,15.405219078063965,0.019927476652926154
27,14464,mnist39,10000,0.8713775873184204,0.7680018544197083,./d.n=mnist39,0.034684356302022934,4.678841378336074e-06,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist39,shallow,0.0001,2.8624062538146973,2.848374366760254,1.0743190050125122,1.0588972568511963,23.022478103637695,0.02310197033236982
28,14570,mnist18,10000,0.79304039478302,0.7489800453186035,./d.n=mnist18,0.016092155128717422,1.935793443408329e-05,64,25000,1e-05,256,0.01,0,0.1,d.n=mnist18,shallow,0.0001,2.837022066116333,2.8095762729644775,1.0852675437927246,1.0500383377075195,24.599531173706055,0.02146029617514851
